MRT_name,Station_code,mrt_start_year,mrt_line_type,mrt_LATITUDE,mrt_LONGITUDE
Jurong East,NS1,1990,NS,1.3330275154394,103.742370487607
Bukit Batok,NS2,1990,NS,1.34903331201636,103.749566478309
Bukit Gombak,NS3,1990,NS,1.35861159094192,103.751790910733
Choa Chu Kang,NS4,1990,NS,1.38536316540225,103.744370779756
Yew Tee,NS5,1996,NS,1.39753506936297,103.747405150236
Kranji,NS7,1996,NS,1.42508698073648,103.762137459497
Marsiling,NS8,1996,NS,1.43252114855026,103.774074641403
Woodlands,NS9,1996,NS,1.43681962961519,103.786066799253
Admiralty,NS10,1996,NS,1.44058856161847,103.800990519771
Sembawang,NS11,1996,NS,1.44905082158502,103.820046140211
Canberra,NS12,2019,NS,1.44307664075699,103.829702590959
Yishun,NS13,1988,NS,1.42944308477331,103.835005047246
Khatib,NS14,1988,NS,1.41738337009565,103.832979908243
Yio Chu Kang,NS15,1987,NS,1.38175587099132,103.84494727118
Ang Mo Kio,NS16,1987,NS,1.36993284962262,103.84955809232
Bishan,NS17,1987,NS,1.35083898784737,103.848143964542
Braddell,NS18,1987,NS,1.3404690010277,103.846799083148
Toa Payoh,NS19,1987,NS,1.33262928096888,103.847502198048
Novena,NS20,1987,NS,1.32044079120154,103.843825618748
Newton,NS21,1987,NS,1.3123189224097,103.837984594021
Orchard,NS22,1987,NS,1.30398013681715,103.832245244375
Somerset,NS23,1987,NS,1.30026416739006,103.839085753124
Dhoby Ghaut,NS24,1987,NS,1.29870132536119,103.846113677951
City Hall,NS25,1987,NS,1.29293672227779,103.852585580366
Raffles Place,NS26,1987,NS,1.28412561043658,103.851461712342
Marina Bay,NS27,1989,NS,1.276410298755,103.854595522263
Marina South Pier,NS28,2014,NS,1.27102703612006,103.862447515736
Pasir Ris,EW1,1989,EW,1.29856088351449,103.770758741678
Tampines,EW2,1989,EW,1.35330167637376,103.945144586749
Simei,EW3,1989,EW,1.34319707851829,103.953377214378
Tanah Merah,EW4,1989,EW,1.32718729074675,103.946348600798
Bedok,EW5,1989,EW,1.32397996868158,103.929984495066
Kembangan,EW6,1989,EW,1.3210381335934,103.912947930851
Eunos,EW7,1989,EW,1.31978354916088,103.903225807255
Paya Lebar,EW8,1989,EW,1.31811149224527,103.893060771576
Aljunied,EW9,1989,EW,1.3164326118157,103.882906044385
Kallang,EW10,1989,EW,1.31148890998818,103.871386541754
Lavender,EW11,1989,EW,1.30737781747063,103.862767633888
Bugis,EW12,1989,EW,1.30046508509717,103.855706730933
City Hall,EW13,1987,EW,1.29293672227779,103.852585580366
Raffles Place,EW14,1987,EW,1.28412561043658,103.851461712342
Tanjong Pagar,EW15,1987,EW,1.27656131737246,103.845725186759
Outram Park,EW16,1987,EW,1.28140504772213,103.839130979249
Tiong Bahru,EW17,1988,EW,1.28610253615775,103.827445112419
Redhill,EW18,1988,EW,1.28963453412887,103.81674097205
Queenstown,EW19,1988,EW,1.29455085184931,103.806077155982
Commonwealth,EW20,1988,EW,1.30250199924325,103.798228523336
Buona Vista,EW21,1988,EW,1.3072237082044,103.790253514502
Dover,EW22,2001,EW,1.31140529320963,103.778637841909
Clementi,EW23,1988,EW,1.31511625277378,103.765191452888
Jurong East,EW24,1988,EW,1.3330275154394,103.742370487607
Chinese Garden,EW25,1988,EW,1.34235282081401,103.732596738363
Lakeside,EW26,1988,EW,1.34425911493819,103.720949087456
Boon Lay,EW27,1990,EW,1.33860405469845,103.706064622772
Pioneer,EW28,2009,EW,1.33758701106708,103.697321608474
Joo Koon,EW29,2009,EW,1.3277170408447,103.678374996165
Gul Circle,EW30,2017,EW,1.31947090075208,103.660530461345
Tuas Crescent,EW31,2017,EW,1.32102695598684,103.649078235627
Tuas West Road,EW32,2017,EW,1.32998504653102,103.639616648771
Tuas Link,EW33,2017,EW,1.34088242451105,103.636991425128
Expo,CG1,2001,EW,1.33454977824817,103.961548211018
Changi Airport,CG2,2002,EW,1.35747897447692,103.98788356959
HarbourFront,NE1,2003,NE,1.26538938374901,103.821530157095
Outram Park,NE3,2003,NE,1.27972059383553,103.839439862425
Chinatown,NE4,2003,NE,1.28435959278583,103.843426681863
Clarke Quay,NE5,2003,NE,1.28838602407588,103.846555209694
Dhoby Ghaut,NE6,2003,NE,1.29970458121203,103.845488542541
Little India,NE7,2003,NE,1.30680019696174,103.849647059738
Farrer Park,NE8,2003,NE,1.31190557325774,103.853477716509
Boon Keng,NE9,2003,NE,1.31933570922514,103.861569454156
Potong Pasir,NE10,2003,NE,1.33137949021368,103.869055656782
Woodleigh,NE11,2011,NE,1.33919004519388,103.87081830915
Serangoon,NE12,2003,NE,1.34970788089564,103.873574849884
Kovan,NE13,2003,NE,1.36017917065237,103.885064856353
Hougang,NE14,2003,NE,1.37129226620797,103.892380513029
Buangkok,NE15,2006,NE,1.38287001971672,103.893122569706
Sengkang,NE16,2003,NE,1.39169462601522,103.895484694279
Punggol,NE17,2003,NE,1.40454653668991,103.902072622229
Punggol Coast,NE18,2024,NE,1.41492733388605,103.910166388177
Bukit Panjang,DT1,2015,DT,1.37900211641036,103.761535114929
Cashew,DT2,2015,DT,1.36981544925552,103.76443921414
Hillview,DT3,2015,DT,1.36234486803558,103.767418254007
Beauty World,DT5,2015,DT,1.34122317558549,103.775794285083
King Albert Park,DT6,2015,DT,1.33566161262214,103.783399113441
Sixth Avenue,DT7,2015,DT,1.33085764536226,103.796906838288
Tan Kah Kee,DT8,2015,DT,1.32555623519898,103.807760304729
Botanic Gardens,DT9,2015,DT,1.32248807089544,103.816013994259
Stevens,DT10,2015,DT,1.32006555750626,103.826024401924
Newton,DT11,2015,DT,1.31399286264569,103.837714613091
Little India,DT12,2015,DT,1.30701826765224,103.848660935092
Rochor,DT13,2015,DT,1.30385218527656,103.852769428884
Bugis,DT14,2013,DT,1.29931350344582,103.857125959023
